name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Ducru-Beaucaillou,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,209.97,94,93.46449,0.53551,1,0,0,0,1,0
Chateau Leoville Las Cases,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,299.97,98,94.23369,3.76631,1,0,0,0,1,0
Chateau Margaux,1997,Bordeaux Red Blends,Margaux, Bordeaux, France,499.97,90,95.94301,-5.94301,1,0,0,0,1,0
Chateau Rauzan-Segla,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,129.00,90,92.77246,-2.77246,1,0,0,0,1,0
Chateau Haut-Brion,1985,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,499.00,95,95.93472,-0.93472,1,0,0,0,1,0
Chateau Haut-Brion,1986,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,639.97,94,97.13954,-3.13954,1,0,0,0,1,0
Chateau Haut-Brion,1998,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,759.97,96,98.16514,-2.16514,1,0,0,0,1,0
Chateau L'Evangile,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,199.00,92,93.37073,-1.37073,1,0,0,0,1,0
Chateau La Conseillante Pomerol,1996,Bordeaux Red Blends,Pomerol, Bordeaux, France,82.99,88,92.37923,-4.37923,1,0,0,0,1,0
Chateau Petrus,1997,Bordeaux Red Blends,Pomerol, Bordeaux, France,785.99,91,98.38753,-7.38753,1,0,0,0,1,0
Chateau Figeac,1995,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.97,90,93.03716,-3.03716,1,0,0,0,1,0
Les Forts de Latour,1999,Bordeaux Red Blends,Pauillac, Bordeaux, France,56.99,90,92.15702,-2.15702,1,0,0,0,1,0
Chateau Angelus,1994,Bordeaux Red Blends,St. Emilion, Bordeaux, France,184.99,93,93.25099,-0.25099,1,0,0,0,1,0
Chateau Leoville Las Cases,1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,529.00,95,96.19112,-1.19112,1,0,0,0,1,0
Chateau Leoville Poyferre,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,135.00,90,92.82375,-2.82375,1,0,0,0,1,0
Chateau Lafon-Rochet,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,82.97,90,92.37906,-2.37906,1,0,0,0,1,0
