id,name,vintage,price,JS,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
157831,"Monte Antico Rosso",2012,10.99,91,https://www.wine.com/product/monte-antico-rosso-2012/157831,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
157844,"Chateau Siran",2015,59.99,94,https://www.wine.com/product/chateau-siran-2015/157844,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157931,"Chateau Trianon",2015,29.99,95,https://www.wine.com/product/chateau-trianon-2015/157931,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158020,"Antinori Tignanello",2013,109.99,97,https://www.wine.com/product/antinori-tignanello-2013/158020,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
158053,"Chateau Pierre 1er",2015,21.99,94,https://www.wine.com/product/chateau-pierre-1er-2015/158053,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158111,"Chateau Clos du Roy",2015,16.99,93,https://www.wine.com/product/chateau-clos-du-roy-2015/158111,"Bordeaux Red Blends","Fronsac, Bordeaux, France",1,0,0,0,1,0
158200,"Mazzei Badiola Toscana",2014,14.99,90,https://www.wine.com/product/mazzei-badiola-toscana-2014/158200,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
158294,"Chateau Cote de Baleau",2015,34.99,92,https://www.wine.com/product/chateau-cote-de-baleau-2015/158294,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158395,"Rocca delle Macie Roccato",2011,57.99,90,https://www.wine.com/product/rocca-delle-macie-roccato-2011/158395,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
158475,"Chateau de Laussac",2015,22.99,91,https://www.wine.com/product/chateau-de-laussac-2015/158475,"Bordeaux Red Blends","Cotes de Castillon, Bordeaux, France",1,0,0,0,1,0
158477,"Chateau Montlabert",2015,27.99,95,https://www.wine.com/product/chateau-montlabert-2015/158477,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158485,"Chateau Larrivet Haut-Brion",2015,39.99,94,https://www.wine.com/product/chateau-larrivet-haut-brion-2015/158485,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
158516,"Chateau du Tertre",2015,52.99,91,https://www.wine.com/product/chateau-du-tertre-2015/158516,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
158523,"Chateau Petit Village",2015,74.99,96,https://www.wine.com/product/chateau-petit-village-2015/158523,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
158525,"Chateau La Cabanne",2015,49.99,95,https://www.wine.com/product/chateau-la-cabanne-2015/158525,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
158526,"Chateau La Gaffeliere",2015,69.99,94,https://www.wine.com/product/chateau-la-gaffeliere-2015/158526,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158551,"Chateau Franc Mayne",2015,44.99,93,https://www.wine.com/product/chateau-franc-mayne-2015/158551,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158569,"Chateau Quinault l'Enclos",2015,39.99,93,https://www.wine.com/product/chateau-quinault-lenclos-2015/158569,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158570,"Clos de l'Oratoire",2015,47.99,95,https://www.wine.com/product/clos-de-loratoire-2015/158570,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158692,"Chateau Marquis de Terme",2015,44.99,94,https://www.wine.com/product/chateau-marquis-de-terme-2015/158692,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
158695,"Chateau La Fleur Morange Cuvee Mathilde (Futures Pre-Sale)",2015,21.99,92,https://www.wine.com/product/chateau-la-fleur-morange-cuvee-mathilde-futures-pre-sale-2015/158695,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
158704,"Trimbach Reserve Pinot Noir",2013,23.99,90,https://www.wine.com/product/trimbach-reserve-pinot-noir-2013/158704,"Pinot Noir","Alsace, France",0,0,1,0,1,0
158997,"Chateau Leoville Poyferre",2015,114.99,96,https://www.wine.com/product/chateau-leoville-poyferre-2015/158997,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
159007,"Chateau Haut-Batailley",2015,49.99,94,https://www.wine.com/product/chateau-haut-batailley-2015/159007,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
159067,"Capezzana Villa di Carmignano",2013,26.99,93,https://www.wine.com/product/capezzana-villa-di-carmignano-2013/159067,"Tuscan Blends","Carmignano, Tuscany, Italy",1,0,0,1,0,0
159079,"Chateau d'Issan",2015,69.99,96,https://www.wine.com/product/chateau-dissan-2015/159079,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
159083,"Chateau Carbonnieux",2015,47.99,93,https://www.wine.com/product/chateau-carbonnieux-2015/159083,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
159084,"Clos L'Eglise Pomerol",2015,99.99,94,https://www.wine.com/product/clos-leglise-pomerol-2015/159084,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
159114,"Banfi Cum Laude",2012,38.99,92,https://www.wine.com/product/banfi-cum-laude-2012/159114,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
159180,"Chateau Gracia",2015,109.99,97,https://www.wine.com/product/chateau-gracia-2015/159180,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
159191,"Kay Brothers Hillside Shiraz",2012,79.99,93,https://www.wine.com/product/kay-brothers-hillside-shiraz-2012/159191,Syrah/Shiraz,"McLaren Vale, Australia",0,1,0,0,0,1
159224,"Chateau Feytit-Clinet",2015,89.99,93,https://www.wine.com/product/chateau-feytit-clinet-2015/159224,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
159232,"Poggio Antico Madre Toscana",2013,46.99,94,https://www.wine.com/product/poggio-antico-madre-toscana-2013/159232,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
159233,"Poggio Antico Lemartine Toscana",2014,44.99,90,https://www.wine.com/product/poggio-antico-lemartine-toscana-2014/159233,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
159260,"Thistledown Basket Case Shiraz",2012,23.99,91,https://www.wine.com/product/thistledown-basket-case-shiraz-2012/159260,Syrah/Shiraz,"Barossa Valley, Barossa, Australia",0,1,0,0,0,1
159299,"Chateau Cos d'Estournel Pagodes de Cos",2015,59.99,94,https://www.wine.com/product/chateau-cos-destournel-pagodes-de-cos-2015/159299,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
159316,"Luce Della Vite Luce Toscana",2013,89.99,97,https://www.wine.com/product/luce-della-vite-luce-toscana-2013/159316,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
159348,"Chateau Marsau",2015,18.99,93,https://www.wine.com/product/chateau-marsau-2015/159348,"Bordeaux Red Blends","Cotes de Francs, Bordeaux, France",1,0,0,0,1,0
159349,"Chateau Beaumont",2015,14.99,92,https://www.wine.com/product/chateau-beaumont-2015/159349,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
